Account,Doc. Date,DocumentNo,Type,PK,Amount in LC,Tx,LCurr,Company,Localité
8125200000,2019-04-30,1118001001,KR,40,"-170,4",Y3,EUR,Lombard International Assurance SA,Luxembourg
8125200000,2019-07-01,1118001530,KR,40,"-259,86",Y3,EUR,Lombard International Assurance SA,Luxembourg
8125200000,2019-07-31,1118001687,KR,40,"-129,56",Y3,EUR,Lombard International Assurance SA,Luxembourg
8127320000,2019-08-31,1118002483,KR,40,"385,39",Y3,EUR,Northern Trust Global Services SE,Luxembourg
8125200000,2019-10-01,1118002643,KR,40,"-107,92",Y3,EUR,Lombard International Assurance SA,Luxembourg
9300100002,2019-10-31,1118002999,KR,70,"352,22",Y3,EUR,Jost Group SA,Luxembourg
8125200000,2019-11-30,1118003276,KR,40,"-7472,89",Y3,EUR,Lombard International Assurance SA,Luxembourg
8122200000,2019-04-21,1118001558,KR,40,"-267,4",Y1,,Syndicat des Tramways Intercommunaux dans le Canton d'Esch,LU
8126100001,2018-12-20,1118000122,KR,40,"-480,31",Y3,,Canon,DE
8126100000,2019-01-29,1118000228,KR,40,"435,94",Y5,,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2018-12-12,1118000359,KR,40,"140,52",Y3,,Canon,DE
8126100001,2019-02-26,1118000401,KR,40,"435,94",Y3,,Canon,DE
8126100001,2019-03-15,1118000653,KR,40,"168,63",Y5,,Canon,DE
8126100001,2019-04-09,1118000833,KR,40,"672,6",Y5,,Canon,DE
8126100000,2019-05-13,1118000996,KR,40,"-178,92",Y3,,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-04-30,1118000999,KR,40,"-2385,6",Y5,,Canon,DE
8126100001,2019-05-23,1118001241,KR,40,"-363,95",Y5,,Canon,DE
8126100000,2019-06-28,1118001391,KR,40,"363,95",Y3,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-06-14,1118001602,KR,40,"-363,95",Y3,EUR,Canon,DE
8126100001,2019-07-24,1118001609,KR,40,"2715,04",Y3,EUR,Canon,DE
8126100001,2019-07-17,1118001614,KR,40,"435,94",Y3,EUR,Canon,DE
8126100000,2019-08-15,1118002101,KR,40,"81573,32",Y3,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-08-30,1118002112,KR,40,"-599,24",Y5,EUR,Canon,DE
8126100001,2019-08-15,1118002625,KR,40,"-2181,12",YB,EUR,Canon,DE
8126100001,2019-11-29,1118003094,KR,40,"-86,62",Y3,EUR,Canon,DE
8126100000,2019-11-29,1118003094,KR,40,"-664,56",Y3,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8126100001,2019-10-23,1118003462,KR,40,"-629,06",Y3,EUR,Canon,DE
8127140000,2019-01-31,1118000711,KR,40,"-549,54",Y1,EUR,Tralux SARL,luxebmourg
8127200000,2019-12-04,1118003288,KR,40,"-242,82",Y1,EUR,Groupe Soludec,lux
1930300000,2019-03-28,1118000661,KR,40,-355.00,V0,EUR,SES,Luxembourg
8121200002,2018-03-31,1118000076,KR,40,"-194,54",V0,EUR,Computer Task Group Luxembourg PSF SA,Luxembourg
8113000004,2018-12-10,1118000217,KR,40,"-292,52",V0,EUR,EFA European Fund Administration SA,Luxembourg
1930300000,2019-02-10,1118000362,KR,40,"-282,58",V0,EUR,SES,Luxembourg
1930300000,2019-03-10,1118000561,KR,40,"-481,38",V0,EUR,SES,Luxembourg
8113000004,2019-04-03,1118000774,KR,40,"-245,75",Y1,EUR,EFA European Fund Administration SA,Luxembourg
8121200002,2018-03-31,1118000872,KR,50,"-979,8",V0,EUR,Computer Task Group Luxembourg PSF SA,Luxembourg
8127200000,2018-10-05,1118000885,KR,50,"472,58",Y1,EUR,Groupe Soludec,lux
8113000004,2019-05-10,1118001121,KR,40,"1215,34",V0,EUR,EFA European Fund Administration SA,Luxembourg
8113000004,2019-07-15,1118001555,KR,40,"353,01",V0,EUR,EFA European Fund Administration SA,Luxembourg
8113000004,2019-08-10,1118002122,KG,50,"419,87",V0,EUR,EFA European Fund Administration SA,Luxembourg
1930300000,2019-10-08,1118002673,KR,40,"236,76",V0,EUR,SES,Luxembourg
8113000004,2019-10-15,1118003018,KR,40,"-1461,15",V0,EUR,EFA European Fund Administration SA,Luxembourg
8121100001,2019-01-09,1118000106,KR,40,"-376,07",Y0,EUR,BDO,Luxembourg
8121100001,2019-01-17,1118000111,KR,40,"220,71",Y0,,BDO,Luxembourg
8121100001,2019-02-05,1118000258,KR,40,"1818,1",Y0,EUR,BDO,Luxembourg
8121100001,2019-02-27,1118000473,KR,40,"-634,7",Y0,EUR,BDO,Luxembourg
8121100001,2019-03-28,1118000689,KR,40,"-394,77",Y0,,BDO,Luxembourg
8121100001,2019-04-11,1118000766,KR,40,"-558,53",Y0,EUR,BDO,Luxembourg
8121100001,2019-03-28,1118000841,KR,40,"-26210,36",Y0,EUR,BDO,Luxembourg
8121100002,2019-04-25,1118000968,KR,40,"-1063,58",Y0,EUR,Schneider sarl,Allemagne
8126200016,2019-06-11,1118001244,KR,40,"-932,94",Y0,EUR,"Agedoc, Association pour la Gestion des Ecoles et des Internats de la Doctrine Chrétienne ASBL",Luxembourg
8127200013,2019-06-11,1118001491,KR,40,"-502,68",Y0,EUR,Groupe Stugalux,Luxembourg
8127200013,2019-07-25,1118001594,KR,40,"-221,52",Y0,EUR,Groupe Stugalux,Luxembourg
8121100001,2019-08-07,1118001807,KR,40,"-1055,06",Y0,EUR,BDO,Luxembourg
8121100001,2019-07-11,1118002028,KR,40,"31,24",Y0,EUR,BDO,Luxembourg
8121100001,2019-09-06,1118002675,KR,40,"-383,4",Y0,EUR,BDO,Luxembourg
8122100002,2019-11-21,1118003101,KR,40,"-248,5",Y0,EUR,A.B.S.C. SA,Luxembourg
8123200000,2019-03-29,1118000642,KR,40,"-401,86",Y1,EUR,Baatz Constructions Exploitation SARL,LU
8127120000,2019-06-19,1118001490,KR,40,"-549,54",Y1,EUR,LUX TP SA,Luxembourg
8127120000,2019-08-12,1118002485,KR,40,"-242,82",Y1,EUR,LUX TP SA,Luxembourg
8127120000,2019-12-03,1118003305,KR,40,"-511,2",Y1,EUR,LUX TP SA,Luxembourg
8127200000,2019-12-02,1118003310,KR,40,"-258,44",Y3,EUR,Groupe Soludec,lux
8126200000,2019-02-28,1118000426,KR,40,"-1199,9",Y0,EUR,Groupe Ligue HMC,Luxembourg
8126200000,2019-04-30,1118001119,KR,40,"-291,1",Y0,EUR,Groupe Ligue HMC,Luxembourg
8126200000,2019-07-31,1118001776,KR,40,"-184,6",Y0,EUR,Groupe Ligue HMC,Luxembourg
8126200000,2019-10-31,1118002945,KR,40,"-221,52",Y0,EUR,Groupe Ligue HMC,Luxembourg
8129000009,2018-06-07,1118002422,KR,40,"-421,74",Y1,EUR,Climalux SA,Luxembourg
8129000009,2018-02-09,1118002427,KR,40,"-1037,74",Y1,EUR,Climalux SA,Luxembourg
8126100000,2019-09-10,1118002380,KR,40,"-15074,52",Y1,EUR,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
8124100001,2019-01-15,1118000125,KR,40,"-483,08",Y1,EUR,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-03-01,1118000504,KR,40,"-357,84",Y1,EUR,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-05-01,1118000970,KR,40,"-657,46",Y1,EUR,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-07-01,1118001387,KR,40,"-482,8",Y1,EUR,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-09-01,1118002273,KR,40,"-553,94",Y1,EUR,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-11-01,1118002941,KR,40,"482,37",Y1,EUR,Banque Centrale du Luxembourg,Luxembourg
8124100000,2018-09-11,1118000439,KG,50,"-621,96",Y0,EUR,Bâloise Assurances Luxembourg SA,Luxembourg
8124200000,2019-01-03,1118000136,KR,40,"-269,8",Y1,EUR,Seris Security SARL,Luxembourg
8124200000,2019-04-02,1118000909,KR,40,"-248,5",Y1,EUR,Seris Security SARL,Luxembourg
8124200000,2019-06-04,1118001323,KR,40,"-450,14",Y1,EUR,Seris Security SARL,Luxembourg
8124200000,2019-09-03,1118002269,KR,40,"-5631,86",Y1,EUR,Seris Security SARL,Luxembourg
1930300000,2019-10-11,1118002840,KR,40,"1264,94",Y1,EUR,SES,Luxembourg
8124200000,2019-12-03,1118003319,KR,40,"-203,46",Y1,EUR,Seris Security SARL,Luxembourg
8127320000,2019-08-01,1118001733,KR,50,"-668,92",Y1,EUR,Northern Trust Global Services SE,Luxembourg
8125200000,2019-04-16,1118000991,KR,40,"-794,63",Y1,EUR,Lombard International Assurance SA,Luxembourg
8113000003,2019-01-03,1118000130,KR,40,"-15263,11",V0,EUR,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-01-03,1118000130,KR,40,"347,43",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-02-06,1118000331,KR,40,"286,04",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-02-06,1118000331,KR,40,"-386,24",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-03-15,1118000464,KR,40,"-292,52",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-03-15,1118000464,KR,40,"-333,7",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
